Plataforma,Ventas_europeas,Calificacion_critica
GBA,10000.0,40.0
GBA,10000.0,52.0
GBA,10000.0,77.0
GBA,10000.0,71.0
GBA,10000.0,61.0
GBA,10000.0,56.0
GBA,10000.0,80.0
GBA,10000.0,69.0
GBA,10000.0,57.0
GBA,10000.0,58.0
GBA,10000.0,82.0
GBA,10000.0,75.0
GBA,10000.0,79.0
GBA,10000.0,78.0
GBA,10000.0,65.0
GBA,10000.0,43.0
GBA,10000.0,65.0
GBA,10000.0,60.0
GBA,10000.0,76.0
GBA,10000.0,68.0
GBA,10000.0,61.0
GBA,10000.0,47.0
GBA,10000.0,44.0
GBA,10000.0,42.0
GBA,10000.0,77.0
GBA,10000.0,75.0
GBA,10000.0,38.0
GBA,10000.0,58.0
GBA,10000.0,69.0
GBA,10000.0,54.0
GBA,10000.0,63.0
GBA,10000.0,65.0
GBA,10000.0,70.0
GBA,10000.0,54.0
GBA,10000.0,70.0
GBA,10000.0,60.0
GBA,10000.0,75.0
GBA,10000.0,68.0
GBA,10000.0,71.0
GBA,10000.0,57.0
GBA,10000.0,45.0
GBA,10000.0,35.0
GBA,10000.0,78.0
GBA,10000.0,70.0
GBA,10000.0,46.0
GBA,10000.0,62.0
GBA,10000.0,35.0
GBA,10000.0,59.0
GBA,10000.0,48.0
GBA,10000.0,54.0
GBA,10000.0,70.0
GBA,10000.0,44.0
GBA,10000.0,57.0
GBA,10000.0,68.0
GBA,10000.0,78.0
GBA,10000.0,78.0
GBA,10000.0,74.0
GBA,10000.0,76.0
GBA,10000.0,68.0
GBA,10000.0,72.0
GBA,10000.0,62.0
GBA,10000.0,73.0
GBA,10000.0,51.0
GBA,10000.0,58.0
GBA,10000.0,80.0
GBA,10000.0,71.0
GBA,10000.0,47.0
GBA,10000.0,73.0
GBA,10000.0,62.0
GBA,10000.0,77.0
GBA,10000.0,67.0
GBA,10000.0,62.0
GBA,10000.0,69.0
GBA,10000.0,77.0
GBA,10000.0,70.0
