Plataforma,Ventas_norteamerica,Calificacion_critica
Wii,60000.0,66.0
Wii,60000.0,35.0
Wii,60000.0,40.0
Wii,50000.0,48.0
Wii,40000.0,65.0
Wii,50000.0,65.0
Wii,50000.0,60.0
Wii,50000.0,48.0
Wii,40000.0,74.0
Wii,50000.0,47.0
Wii,50000.0,74.0
Wii,50000.0,30.0
Wii,50000.0,42.0
Wii,50000.0,57.0
Wii,50000.0,66.0
Wii,50000.0,57.0
Wii,50000.0,46.0
Wii,50000.0,53.0
Wii,50000.0,66.0
Wii,50000.0,26.0
Wii,50000.0,43.0
Wii,40000.0,32.0
Wii,40000.0,37.0
Wii,30000.0,47.0
Wii,40000.0,62.0
Wii,40000.0,39.0
Wii,40000.0,37.0
Wii,40000.0,67.0
Wii,40000.0,42.0
Wii,40000.0,56.0
Wii,40000.0,70.0
Wii,30000.0,75.0
Wii,40000.0,65.0
Wii,40000.0,50.0
Wii,30000.0,52.0
Wii,10000.0,76.0
Wii,30000.0,26.0
Wii,20000.0,41.0
Wii,10000.0,59.0
Wii,20000.0,31.0
Wii,20000.0,35.0
Wii,20000.0,62.0
Wii,20000.0,19.0
Wii,20000.0,30.0
Wii,20000.0,40.0
Wii,20000.0,60.0
Wii,10000.0,75.0
